"providerId","utcStartTime","status","compSeason.shortName","round.name","round.roundNumber","venue.name","home.team.name","home.team.club.name","away.team.name","away.team.club.name","player.jumperNumber","player.photoURL","player.player.position","player.player.player.playerId","player.player.player.captain","player.player.player.playerJumperNumber","player.player.player.givenName","player.player.player.surname","teamId","gamesPlayed","timeOnGroundPercentage","goals","behinds","superGoals","kicks","handballs","disposals","marks","bounces","tackles","contestedPossessions","uncontestedPossessions","totalPossessions","inside50s","marksInside50","contestedMarks","hitouts","onePercenters","disposalEfficiency","clangers","freesFor","freesAgainst","dreamTeamPoints","rebound50s","goalAssists","goalAccuracy","ratingPoints","ranking","lastUpdated","turnovers","intercepts","tacklesInside50","shotsAtGoal","goalEfficiency","shotEfficiency","interchangeCounts","scoreInvolvements","metresGained","clearances.centreClearances","clearances.stoppageClearances","clearances.totalClearances","extendedStats.effectiveKicks","extendedStats.kickEfficiency","extendedStats.kickToHandballRatio","extendedStats.effectiveDisposals","extendedStats.marksOnLead","extendedStats.interceptMarks","extendedStats.contestedPossessionRate","extendedStats.hitoutsToAdvantage","extendedStats.hitoutWinPercentage","extendedStats.hitoutToAdvantageRate","extendedStats.groundBallGets","extendedStats.f50GroundBallGets","extendedStats.scoreLaunches","extendedStats.pressureActs","extendedStats.defHalfPressureActs","extendedStats.spoils","extendedStats.ruckContests","extendedStats.contestDefOneOnOnes","extendedStats.contestDefLosses","extendedStats.contestDefLossPercentage","extendedStats.contestOffOneOnOnes","extendedStats.contestOffWins","extendedStats.contestOffWinsPercentage","extendedStats.centreBounceAttendances","extendedStats.kickins","extendedStats.kickinsPlayon","player.playerId","player.captain","player.playerJumperNumber","player.givenName","player.surname","teamStatus","extendedStats","team.name","match_date","match_year","match_year_round","player.fullName"
"CD_M20230141402","2023-06-16T09:50:00.000+0000","CONCLUDED","Premiership","Round 14",14,"Gabba","Brisbane Lions","Brisbane Lions","Sydney Swans","Sydney Swans",7,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/998133.png?im=Scale,width=0.6,height=0.6","WL","CD_I998133",FALSE,7,"Jarrod","Berry","CD_T20",NA,77,2,0,NA,15,3,18,4,0,1,9,9,18,4,1,2,0,1,72.2,1,2,1,78,3,0,100,17.5,NA,NA,2,4,0,2,NA,NA,NA,7,449,0,1,1,10,66.7,5,13,0,1,50,0,0,0,6,0,1,8,2,1,0,0,0,0,1,0,0,0,0,0,"CD_I998133",FALSE,7,"Jarrod","Berry","home",NA,"Brisbane Lions",2023-06-16,2023,202314,"Jarrod Berry"
"CD_M20230141402","2023-06-16T09:50:00.000+0000","CONCLUDED","Premiership","Round 14",14,"Gabba","Brisbane Lions","Brisbane Lions","Sydney Swans","Sydney Swans",23,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/990609.png?im=Scale,width=0.6,height=0.6","HFFL","CD_I990609",FALSE,23,"Charlie","Cameron","CD_T20",NA,83,0,1,NA,3,4,7,1,0,4,2,4,6,1,1,0,0,3,42.9,1,0,0,37,1,0,0,2.5,NA,NA,2,0,0,1,NA,NA,NA,2,59,0,0,0,1,33.3,0.8,3,1,0,33.3,0,0,0,2,2,0,17,2,1,0,0,0,0,1,1,100,0,0,0,"CD_I990609",FALSE,23,"Charlie","Cameron","home",NA,"Brisbane Lions",2023-06-16,2023,202314,"Charlie Cameron"
"CD_M20230141402","2023-06-16T09:50:00.000+0000","CONCLUDED","Premiership","Round 14",14,"Gabba","Brisbane Lions","Brisbane Lions","Sydney Swans","Sydney Swans",5,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/993834.png?im=Scale,width=0.6,height=0.6","RR","CD_I993834",FALSE,5,"Josh","Dunkley","CD_T20",NA,85,0,0,NA,12,16,28,3,0,8,15,16,31,4,0,0,0,4,71.4,2,4,0,113,1,0,0,18.7,NA,NA,7,4,1,0,NA,NA,NA,11,225,1,3,4,7,58.3,0.8,20,0,0,48.4,0,0,0,11,3,2,30,14,1,0,0,0,0,0,0,0,27,0,0,"CD_I993834",FALSE,5,"Josh","Dunkley","home",NA,"Brisbane Lions",2023-06-16,2023,202314,"Josh Dunkley"
"CD_M20230141402","2023-06-16T09:50:00.000+0000","CONCLUDED","Premiership","Round 14",14,"Gabba","Brisbane Lions","Brisbane Lions","Sydney Swans","Sydney Swans",28,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/1023708.png?im=Scale,width=0.6,height=0.6","INT","CD_I1023708",FALSE,28,"Jaspa","Fletcher","CD_T20",NA,63,1,2,NA,6,7,13,4,1,1,5,8,13,3,0,0,0,0,76.9,0,0,0,56,0,0,33.3,10,NA,NA,1,5,0,3,NA,NA,NA,5,208,0,2,2,3,50,0.9,10,0,1,38.5,0,0,0,4,0,2,11,3,0,0,2,1,50,0,0,0,0,0,0,"CD_I1023708",FALSE,28,"Jaspa","Fletcher","home",NA,"Brisbane Lions",2023-06-16,2023,202314,"Jaspa Fletcher"
"CD_M20230141402","2023-06-16T09:50:00.000+0000","CONCLUDED","Premiership","Round 14",14,"Gabba","Brisbane Lions","Brisbane Lions","Sydney Swans","Sydney Swans",30,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/993953.png?im=Scale,width=0.6,height=0.6","FPR","CD_I993953",FALSE,30,"Eric","Hipwood","CD_T20",NA,83,2,2,NA,9,2,11,10,0,1,4,7,11,1,5,3,0,2,36.4,2,0,1,76,0,0,40,2.4,NA,NA,4,0,1,5,NA,NA,NA,6,241,0,0,0,3,33.3,4.5,4,4,0,36.4,0,0,0,1,1,0,9,0,2,0,0,0,0,2,1,50,0,0,0,"CD_I993953",FALSE,30,"Eric","Hipwood","home",NA,"Brisbane Lions",2023-06-16,2023,202314,"Eric Hipwood"
"CD_M20230141402","2023-06-16T09:50:00.000+0000","CONCLUDED","Premiership","Round 14",14,"Gabba","Brisbane Lions","Brisbane Lions","Sydney Swans","Sydney Swans",35,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/291548.png?im=Scale,width=0.6,height=0.6","FB","CD_I291548",FALSE,35,"Ryan","Lester","CD_T20",NA,89,0,0,NA,8,3,11,5,0,3,4,8,12,2,0,2,0,8,81.8,3,1,3,49,5,0,0,11.3,NA,NA,5,7,0,0,NA,NA,NA,0,287,0,0,0,7,87.5,2.7,9,0,3,33.3,0,0,0,2,0,0,9,9,7,0,1,0,0,0,0,0,0,0,0,"CD_I291548",FALSE,35,"Ryan","Lester","home",NA,"Brisbane Lions",2023-06-16,2023,202314,"Ryan Lester"
"CD_M20230141402","2023-06-16T09:50:00.000+0000","CONCLUDED","Premiership","Round 14",14,"Gabba","Brisbane Lions","Brisbane Lions","Sydney Swans","Sydney Swans",46,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/1005521.png?im=Scale,width=0.6,height=0.6","RK","CD_I1005521",FALSE,46,"Oscar","McInerney","CD_T20",NA,81,1,0,NA,10,8,18,3,0,6,13,5,18,5,0,2,46,4,55.6,1,3,0,134,2,0,100,20.4,NA,NA,4,3,0,1,NA,NA,NA,4,356,3,5,8,4,40,1.3,10,0,1,72.2,11,56.8,23.9,5,1,3,15,9,2,81,1,0,0,0,0,0,24,0,0,"CD_I1005521",FALSE,46,"Oscar","McInerney","home",NA,"Brisbane Lions",2023-06-16,2023,202314,"Oscar McInerney"
"CD_M20230141402","2023-06-16T09:50:00.000+0000","CONCLUDED","Premiership","Round 14",14,"Gabba","Brisbane Lions","Brisbane Lions","Sydney Swans","Sydney Swans",9,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/293535.png?im=Scale,width=0.6,height=0.6","R","CD_I293535",FALSE,9,"Lachie","Neale","CD_T20",NA,90,0,0,NA,8,21,29,3,0,7,16,13,29,3,0,0,0,2,89.7,3,3,2,100,3,0,0,20,NA,NA,3,5,1,0,NA,NA,NA,10,237,2,8,10,7,87.5,0.4,26,0,1,55.2,0,0,0,12,1,3,25,12,0,0,0,0,0,0,0,0,23,0,0,"CD_I293535",FALSE,9,"Lachie","Neale","home",NA,"Brisbane Lions",2023-06-16,2023,202314,"Lachie Neale"
"CD_M20230141402","2023-06-16T09:50:00.000+0000","CONCLUDED","Premiership","Round 14",14,"Gabba","Brisbane Lions","Brisbane Lions","Sydney Swans","Sydney Swans",40,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/1002347.png?im=Scale,width=0.6,height=0.6","BPR","CD_I1002347",FALSE,40,"Jack","Payne","CD_T20",NA,83,0,0,NA,8,2,10,3,0,0,2,6,8,1,0,0,0,7,80,3,1,1,35,4,0,0,2.4,NA,NA,2,6,0,0,NA,NA,NA,3,238,0,0,0,6,75,4,8,0,1,25,0,0,0,1,0,1,3,2,6,0,3,1,33.3,0,0,0,0,0,0,"CD_I1002347",FALSE,40,"Jack","Payne","home",NA,"Brisbane Lions",2023-06-16,2023,202314,"Jack Payne"
"CD_M20230141402","2023-06-16T09:50:00.000+0000","CONCLUDED","Premiership","Round 14",14,"Gabba","Brisbane Lions","Brisbane Lions","Sydney Swans","Sydney Swans",16,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2023014/1002235.png?im=Scale,width=0.6,height=0.6","WR","CD_I1002235",FALSE,16,"Cam","Rayner","CD_T20",NA,88,1,2,NA,10,4,14,5,0,1,4,11,15,5,1,1,0,0,64.3,3,1,1,63,0,2,33.3,3.8,NA,NA,3,1,1,3,NA,NA,NA,9,335,0,0,0,6,60,2.5,9,2,0,26.7,0,0,0,2,2,2,12,3,0,0,0,0,0,1,0,0,0,0,0,"CD_I1002235",FALSE,16,"Cam","Rayner","home",NA,"Brisbane Lions",2023-06-16,2023,202314,"Cam Rayner"
